"lat","long","cell_category","proportion_cover","cell_id","amt","arid","ts","pwarmq","pcoldq","th","clay"
-27.51666585,149.54999845,"land",1,1343,-0.423049218188382,-0.036095340794528,0.521443940068163,0.100076351106773,0.124775171748258,-0.370407664385698,1.68004548987462
-27.51666585,150.38333175,"land",1,1344,-0.545349676035917,0.0548930253250562,0.383045833155289,0.198852438496171,0.120595807893861,-0.349004282369171,1.49796285090081
-27.51666585,151.21666505,"land",1,1345,-0.718619307312442,0.154500351461759,0.09961260976025,0.333344840475308,0.137341005241894,-0.379423071028125,1.45832999698624
-27.51666585,152.04999835,"land",1,1346,-0.815055852458471,0.589418441975061,-0.260647635846028,0.78920522078252,0.271967045293489,2.07714184669549,1.68184394439544
-27.51666585,152.88333165,"land",0.9,1347,-0.473640865516422,1.17546238390147,-0.587162095725263,1.5200117853069,0.615625084504988,0.770840809030718,1.07761650004502
-27.51666585,153.71666495,"land",0.1,1348,-0.381193767820967,2.3470679570818,-0.92872067833476,1.83048579699157,1.83195321146731,-0.199543777443296,-0.583760531008559
-28.34999915,114.54999985,"land",0.68,1355,-0.42019684875581,-0.189797754238013,-0.066988722911932,-0.985601088948424,1.55381614764147,0.384624569970928,-0.872744316480756
-28.34999915,115.38333315,"land",1,1356,-0.334569969310789,-0.442829427692309,0.56712693879529,-0.934850123753874,0.819018662402129,-0.365939568327794,-0.872405778744479
-28.34999915,116.21666645,"land",1,1357,-0.2654385956283,-0.602569588944316,0.93089816817657,-0.925006564301533,0.403301883597127,-0.429421631636401,-0.67180280135939
-28.34999915,117.04999975,"land",1,1358,-0.220616033092027,-0.653083239770481,1.0727727620591,-0.868018565932164,0.217672136293997,-0.200139254519464,-0.512402887116682
-28.34999915,117.88333305,"land",1,1359,-0.20860539341791,-0.65296342502222,1.15007812532285,-0.847632268108051,0.143136882976533,-0.186914806579323,-0.572555532583321
-28.34999915,118.71666635,"land",1,1360,-0.263714304783432,-0.66169159156853,1.17302838849946,-0.835631984660948,0.0693684838696669,-0.377022556202521,-0.482007090613207
